rel_paths	fnames               	last_mc	last_mn	KeySig      	TimeSig                                                                                              	label_count	harmony_version	annotated_key	annotators     	composer           	workTitle                           	movementNumber	movementTitle    	workNumber	poet	lyricist	arranger	copyright                                	creationDate	mscVersion	platform       	source	translator	musescore	ambitus        	composed_end	composed_start	originalFormat	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument	staff_4_ambitus	staff_4_instrument	staff_5_ambitus	staff_5_instrument
MS3      	5-10                 	58     	58     	1: -1       	1: 4/4                                                                                               	98         	2.1.0          	g            	               	                   	                                    	              	                 	          	    	        	        	                                         	2019-03-04  	3.02      	Apple Macintosh	      	          	3.6.2    	41-79 (F2-G5)  	1605        	1605          	xml           	62-79 (D4-G5)  	vox               	58-77 (Bb3-F5) 	vox               	55-70 (G3-Bb4) 	vox               	62-74 (D4-D5)  	vox               	41-58 (F2-Bb3) 	vox
MS3      	5-11                 	75     	75     	1: -1, 39: 0	1: 4/4                                                                                               	151        	2.1.0          	g            	Adrian Nagel   	                   	                                    	              	                 	          	    	        	        	                                         	2019-03-04  	3.02      	Apple Macintosh	      	          	3.6.2    	43-77 (G2-F5)  	1605        	1605          	xml           	57-77 (A3-F5)  	vox               	59-76 (B3-E5)  	vox               	54-69 (F#3-A4) 	vox               	50-67 (D3-G4)  	vox               	43-62 (G2-D4)  	vox
MS3      	5-14                 	91     	91     	1: 0        	1: 4/4                                                                                               	167        	2.1.0          	d            	               	                   	                                    	              	                 	          	    	        	        	                                         	2019-03-04  	3.02      	Apple Macintosh	      	          	3.6.2    	41-79 (F2-G5)  	1605        	1605          	xml           	60-77 (C4-F5)  	vox               	57-79 (A3-G5)  	vox               	50-69 (D3-A4)  	vox               	48-64 (C3-E4)  	vox               	41-57 (F2-A3)  	vox
MS3      	5-15                 	84     	84     	1: 0        	1: 4/4                                                                                               	167        	2.1.0          	d            	               	                   	                                    	              	                 	          	    	        	        	                                         	2019-03-04  	3.02      	Apple Macintosh	      	          	3.6.2    	41-78 (F2-F#5) 	1605        	1605          	xml           	60-77 (C4-F5)  	vox               	55-70 (G3-Bb4) 	vox               	62-78 (D4-F#5) 	vox               	57-75 (A3-Eb5) 	vox               	41-57 (F2-A3)  	vox
MS3      	5-17                 	57     	57     	1: 0        	1: 4/4                                                                                               	104        	2.1.0          	d            	               	                   	                                    	              	                 	          	    	        	        	                                         	2019-03-04  	3.02      	Apple Macintosh	      	          	3.6.2    	38-79 (D2-G5)  	1605        	1605          	xml           	62-76 (D4-E5)  	vox               	61-74 (C#4-D5) 	vox               	67-79 (G4-G5)  	vox               	62-76 (D4-E5)  	vox               	38-60 (D2-C4)  	vox
MS3      	6-01a                	34     	34     	1: 0        	1: 4/4                                                                                               	83         	2.1.0          	d            	Adrian Nagel   	C. Monteverdi      	                                    	              	Lamento d'Arianna	          	    	        	        	© Les Éditions Outremontaises, 2006      	2019-03-11  	3.02      	Apple Macintosh	      	          	3.6.2    	43-74 (G2-D5)  	1614        	1614          	mxl           	62-74 (D4-D5)  	Instrument 1      	61-70 (C#4-Bb4)	Instrument 1      	52-67 (E3-G4)  	Instrument 1      	50-62 (D3-D4)  	Instrument 1      	43-57 (G2-A3)  	Instrument 1
MS3      	8-18                 	108    	106    	1: 0        	1: 4/4, 28: 3/1, 97: 4/4                                                                             	295        	2.1.0          	C            	Adrian Nagel   	"Claudio MONTEVERDI
(1567 - 1643)"	LAMENTO DELLA NINFA                 	              	                 	          	    	        	        	"Steven Langley Guy, 18th December, 2004.
smguy@ihug.com.au"	2019-03-11  	3.02      	Apple Macintosh	      	          	3.6.2    	36-77 (C2-F5)  	1638        	1638          	xml           	62-77 (D4-F5)  	Treble (2)        	36-55 (C2-G3)  	Tenor (2)         	36-57 (C2-A3)  	Tenor (2)         	40-60 (E2-C4)  	Bass (2) (2)      	40-60 (E2-C4)  	Harpsichord
MS3      	8-19                 	142    	142    	1: 0        	1: 3/1, 21: 4/4, 34: 3/1, 40: 4/4, 89: 3/1, 97: 4/4, 108: 3/1, 116: 4/4, 126: 3/1, 133: 4/4, 137: 3/1	281        	2.1.0          	a            	Lars & Ya-Chuan	                   	                                    	              	                 	          	    	        	        	                                         	2019-08-08  	3.02      	Linux          	      	          	3.6.2    	40-69 (E2-A4)  	1638        	1638          	cap           	57-69 (A3-A4)  	unbenannt1        	48-65 (C3-F4)  	unbenannt2        	40-60 (E2-C4)  	unbenannt3        	40-67 (E2-G4)  	unbenannt4
MS3      	9-12                 	26     	26     	1: 0        	1: 3/2, 10: 2/4, 11: 3/2, 18: 2/4                                                                    	52         	2.1.0          	C            	Lars & Ya-Chuan	Claudio Monteverdi 	Perche se m'odiavi                  	              	                 	          	    	        	        	                                         	2019-08-08  	3.02      	Linux          	      	          	3.6.2    	31-60 (G1-C4)  	1651        	1651          	mxl           	45-55 (A2-G3)  	Tenor             	41-53 (F2-F3)  	Tenor             	43-60 (G2-C4)  	Bass (2)          	31-48 (G1-C3)  	Double Bass
MS3      	laudate_pueri_dominum	177    	177    	1: -1       	1: 4/4, 126: 3/2, 138: 4/4                                                                           	386        	2.1.0          	g            	Lars & Ya-Chuan	                   	                                    	              	                 	          	    	        	        	                                         	2019-03-11  	3.02      	Apple Macintosh	      	          	3.6.2    	31-81 (G1-A5)  	1620        	1620          	xml           	65-81 (F4-A5)  	Strumento3        	58-74 (Bb3-D5) 	Strumento4        	53-70 (F3-Bb4) 	Strumento4        	53-70 (F3-Bb4) 	Strumento5        	31-53 (G1-F3)  	Pianoforte a coda
